close,high,low,open,volume,baseVolume,datetime
9485.08,9494.2,9430.45,9445.62,2079.97,19682891.44,2020-02-05 15:00:00
9563.0,9566.19,9472.3,9485.08,3958.86,37721429.32,2020-02-05 16:00:00
9560.52,9568.0,9524.47,9563.0,1968.84,18804144.14,2020-02-05 17:00:00
9657.11,9744.45,9560.0,9560.52,7655.11,73870069.12,2020-02-05 18:00:00
9655.99,9715.0,9631.76,9657.11,2626.05,25411506.03,2020-02-05 19:00:00
9672.87,9698.45,9653.56,9655.99,1632.55,15792544.6,2020-02-05 20:00:00
9692.5,9725.0,9671.93,9672.87,2109.32,20458740.83,2020-02-05 21:00:00
9635.0,9693.71,9608.27,9692.5,2861.26,27599188.76,2020-02-05 22:00:00
9612.04,9671.22,9565.14,9635.0,1953.61,18801494.42,2020-02-05 23:00:00
9550.59,9635.11,9526.35,9612.04,2479.17,23726077.82,2020-02-06 00:00:00
9634.5,9634.99,9540.0,9550.59,1478.75,14185546.53,2020-02-06 01:00:00
9582.97,9635.11,9568.57,9634.5,878.1,8425447.41,2020-02-06 02:00:00
9635.7,9650.0,9571.0,9582.97,1228.29,11796123.41,2020-02-06 03:00:00
9644.84,9653.99,9617.1,9635.7,1385.16,13347284.39,2020-02-06 04:00:00
9637.15,9664.93,9630.0,9644.84,1170.86,11295796.03,2020-02-06 05:00:00
9649.07,9690.0,9607.52,9637.15,2220.78,21430491.54,2020-02-06 06:00:00
9628.8,9697.78,9615.11,9649.07,3031.64,29292800.56,2020-02-06 07:00:00
9645.9,9667.17,9605.55,9628.8,2655.7,25619074.01,2020-02-06 08:00:00
9662.24,9665.0,9619.3,9645.9,1742.35,16799260.52,2020-02-06 09:00:00
9678.5,9698.0,9647.35,9662.24,1874.19,18131266.34,2020-02-06 10:00:00
9698.89,9707.21,9655.0,9678.5,2000.02,19361013.78,2020-02-06 11:00:00
9825.22,9832.32,9698.66,9698.89,6422.53,62724337.41,2020-02-06 12:00:00
9744.19,9862.56,9638.0,9825.22,7736.47,75589794.24,2020-02-06 13:00:00
9824.3,9862.57,9681.44,9744.19,4835.53,47299084.14,2020-02-06 14:00:00
9786.88,9830.0,9756.0,9824.3,2266.92,22202278.62,2020-02-06 15:00:00
9788.64,9839.63,9750.0,9786.88,2277.36,22299001.78,2020-02-06 16:00:00
9771.57,9810.7,9733.41,9788.64,1630.66,15939469.77,2020-02-06 17:00:00
9769.18,9779.93,9717.85,9771.57,1782.18,17375518.91,2020-02-06 18:00:00
9747.29,9778.1,9722.43,9769.18,1885.21,18388889.77,2020-02-06 19:00:00
9783.43,9792.0,9739.17,9747.29,1956.17,19101833.05,2020-02-06 20:00:00
9750.19,9801.98,9740.0,9783.43,1985.1,19401974.29,2020-02-06 21:00:00
9692.7,9765.17,9685.0,9750.19,1647.76,16023403.88,2020-02-06 22:00:00
9772.0,9777.67,9660.0,9692.7,2779.04,27044084.16,2020-02-06 23:00:00
9791.15,9824.48,9752.65,9772.0,1874.21,18359526.54,2020-02-07 00:00:00
9808.04,9829.72,9770.95,9791.15,1447.81,14198964.79,2020-02-07 01:00:00
9800.0,9855.0,9786.17,9808.04,2148.52,21120157.45,2020-02-07 02:00:00
9779.78,9828.47,9775.0,9800.0,1257.86,12325866.27,2020-02-07 03:00:00
